22:59:04,182837 len:54, 61.151.224.36:443 -> 61.151.224.36:53209, flags:[ACK]
01:34:23,332185 len:66, 192.168.43.36:9272 -> 192.168.43.36:443, flags:[SYN]
01:34:24,941618 len:305, 111.30.159.58:8000 -> 111.30.159.58:4005, flags:[SYN,PSH,URG]
01:34:24,942215 len:97, 192.168.43.36:4005 -> 192.168.43.36:8000, flags:[SYN,PSH,URG]
01:34:25,192279 len:61, 192.168.43.36:9256 -> 192.168.43.36:80, flags:[PSH,ACK]
01:34:25,759622 len:54, 13.65.97.194:80 -> 13.65.97.194:9256, flags:[ACK]
01:34:25,831598 len:61, 192.168.43.36:9242 -> 192.168.43.36:80, flags:[PSH,ACK]
01:34:26,373007 len:54, 13.84.218.77:80 -> 13.84.218.77:9242, flags:[ACK]
01:34:26,578559 len:297, 111.30.159.58:8000 -> 111.30.159.58:4005, flags:[SYN,PSH,URG]
01:34:26,579189 len:97, 192.168.43.36:4005 -> 192.168.43.36:8000, flags:[SYN,PSH,URG]
01:34:29,332159 len:66, 192.168.43.36:9272 -> 192.168.43.36:443, flags:[SYN]
01:34:29,389391 len:92, 192.168.43.36:137 -> 192.168.43.36:137, flags:[FIN]
01:34:29,602335 len:42, 135.71.192.168:1 -> 135.71.192.168:2048, flags:[FIN,SYN,RST]
01:34:29,608563 len:42, 7.98.192.168:1 -> 7.98.192.168:2048, flags:[SYN,URG]
01:34:30,139991 len:92, 192.168.43.36:137 -> 192.168.43.36:137, flags:[FIN]
01:34:30,192914 len:61, 192.168.43.36:9256 -> 192.168.43.36:80, flags:[PSH,ACK]
01:34:30,673628 len:54, 13.65.97.194:80 -> 13.65.97.194:9256, flags:[ACK]
01:34:30,832163 len:61, 192.168.43.36:9242 -> 192.168.43.36:80, flags:[PSH,ACK]
01:34:30,889986 len:92, 192.168.43.36:137 -> 192.168.43.36:137, flags:[FIN]
01:34:31,288119 len:54, 13.84.218.77:80 -> 13.84.218.77:9242, flags:[ACK]
01:34:31,691931 len:66, 192.168.43.36:9273 -> 192.168.43.36:1688, flags:[SYN]
01:34:34,692805 len:66, 192.168.43.36:9273 -> 192.168.43.36:1688, flags:[SYN]
01:34:35,124573 len:75, 26.64.103.51:24585 -> 26.64.103.51:61143, flags:[]
01:34:35,140280 len:54, 192.168.43.36:9268 -> 192.168.43.36:8080, flags:[FIN,ACK]
01:34:35,140408 len:54, 192.168.43.36:9266 -> 192.168.43.36:443, flags:[FIN,ACK]
01:34:35,141379 len:75, 192.168.43.36:55339 -> 192.168.43.36:53, flags:[FIN]
01:34:35,141671 len:75, 192.168.43.36:54557 -> 192.168.43.36:53, flags:[FIN]
01:34:35,193468 len:61, 192.168.43.36:9256 -> 192.168.43.36:80, flags:[PSH,ACK]
01:34:35,205603 len:75, 26.64.103.51:24584 -> 26.64.103.51:19193, flags:[]
01:34:35,206204 len:54, 111.30.159.176:8080 -> 111.30.159.176:9268, flags:[FIN,ACK]
01:34:35,206253 len:54, 192.168.43.36:9268 -> 192.168.43.36:8080, flags:[ACK]
01:34:35,212360 len:202, 192.168.43.1:53 -> 192.168.43.1:55339, flags:[FIN]
01:34:35,212708 len:186, 192.168.43.1:53 -> 192.168.43.1:54557, flags:[FIN]
01:34:35,213593 len:66, 192.168.43.36:9274 -> 192.168.43.36:443, flags:[SYN]
01:34:35,240738 len:66, 111.13.140.91:443 -> 111.13.140.91:9274, flags:[SYN,ACK]
01:34:35,240799 len:54, 192.168.43.36:9274 -> 192.168.43.36:443, flags:[ACK]
01:34:35,241153 len:385, 192.168.43.36:9274 -> 192.168.43.36:443, flags:[PSH,ACK]
01:34:35,252517 len:54, 120.198.203.183:443 -> 120.198.203.183:9266, flags:[FIN,ACK]
01:34:35,252559 len:54, 192.168.43.36:9266 -> 192.168.43.36:443, flags:[ACK]
01:34:35,304783 len:54, 111.13.140.91:443 -> 111.13.140.91:9274, flags:[ACK]
01:34:35,305226 len:1454, 111.13.140.91:443 -> 111.13.140.91:9274, flags:[ACK]
01:34:35,305228 len:1454, 111.13.140.91:443 -> 111.13.140.91:9274, flags:[ACK]
01:34:35,305321 len:54, 192.168.43.36:9274 -> 192.168.43.36:443, flags:[ACK]
01:34:35,305503 len:1454, 111.13.140.91:443 -> 111.13.140.91:9274, flags:[ACK]
01:34:35,305740 len:1454, 111.13.140.91:443 -> 111.13.140.91:9274, flags:[ACK]
01:34:35,305815 len:54, 192.168.43.36:9274 -> 192.168.43.36:443, flags:[ACK]
01:34:35,305935 len:188, 111.13.140.91:443 -> 111.13.140.91:9274, flags:[PSH,ACK]
01:34:35,312134 len:180, 192.168.43.36:9274 -> 192.168.43.36:443, flags:[PSH,ACK]
01:34:35,350535 len:54, 111.13.140.91:443 -> 111.13.140.91:9274, flags:[ACK]
01:34:35,350699 len:312, 111.13.140.91:443 -> 111.13.140.91:9274, flags:[PSH,ACK]
01:34:35,351478 len:341, 192.168.43.36:9274 -> 192.168.43.36:443, flags:[PSH,ACK]
01:34:35,385823 len:54, 111.13.140.91:443 -> 111.13.140.91:9274, flags:[ACK]
01:34:35,386034 len:1096, 111.13.140.91:443 -> 111.13.140.91:9274, flags:[PSH,ACK]
01:34:35,397188 len:381, 192.168.43.36:9274 -> 192.168.43.36:443, flags:[PSH,ACK]
01:34:35,398381 len:75, 192.168.43.36:60684 -> 192.168.43.36:53, flags:[FIN]
01:34:35,400631 len:201, 192.168.43.1:53 -> 192.168.43.1:60684, flags:[FIN]
01:34:35,401976 len:66, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[SYN]
01:34:35,440478 len:66, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[SYN,ACK]
01:34:35,440594 len:54, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[ACK]
01:34:35,441262 len:385, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[PSH,ACK]
01:34:35,452336 len:54, 111.13.140.91:443 -> 111.13.140.91:9274, flags:[ACK]
01:34:35,452617 len:1454, 111.13.140.91:443 -> 111.13.140.91:9274, flags:[ACK]
01:34:35,452875 len:1454, 111.13.140.91:443 -> 111.13.140.91:9274, flags:[ACK]
01:34:35,452949 len:54, 192.168.43.36:9274 -> 192.168.43.36:443, flags:[ACK]
01:34:35,453094 len:523, 111.13.140.91:443 -> 111.13.140.91:9274, flags:[PSH,ACK]
01:34:35,475693 len:86, 64.8.12.3:24651 -> 64.8.12.3:35950, flags:[PSH]
01:34:35,493723 len:54, 192.168.43.36:9274 -> 192.168.43.36:443, flags:[ACK]
01:34:35,498665 len:54, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,498889 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,499326 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,499330 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,499425 len:54, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[ACK]
01:34:35,499568 len:1454, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,499626 len:54, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[ACK]
01:34:35,499734 len:188, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[PSH,ACK]
01:34:35,505282 len:54, 13.65.97.194:80 -> 13.65.97.194:9256, flags:[ACK]
01:34:35,506703 len:180, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[PSH,ACK]
01:34:35,516247 len:74, 64.8.12.3:24655 -> 64.8.12.3:25137, flags:[PSH]
01:34:35,549577 len:54, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
01:34:35,549743 len:312, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[PSH,ACK]
01:34:35,550534 len:373, 192.168.43.36:9275 -> 192.168.43.36:443, flags:[PSH,ACK]
01:34:35,584834 len:54, 111.13.140.91:443 -> 111.13.140.91:9275, flags:[ACK]
